Behandeling,Prijs
Onderzoek ,€ 107.50
Onderzoek klein,€ 95.00
Consult,€ 46.50
Consult klein,€ 40.00
Consult groot,€ 65.00
Aanmeetconsult podotherapeutische zolen (bestaande patiënt),€ 95.00
Telefonisch consult,€ 40.00
Podotherapeutische zolen,€ 167.50
Podotherapeutische zolen kind t/m 12 jaar,€ 155.00
Podotherapeutische zolen extra paar (binnen 3 mnd na 1e paar),€ 135.00
Podotherapeutische zolen voor werkschoeisel,€ 205.00
Podotherapeutische zolen extra paar werk (binnen 3 mnd na 1e paar),€ 180.00
Podotherapeutische zolen specifiek,€ 197.50
Aanpassing/onderhoud zolen (excl. kosten consult),€ 20.00
Orthese klein,€ 16.50
Orthese middel,€ 25.00
Orthese groot,€ 32.50
Nagelbeugel / orthonyxie,€ 23.50
Instrumentele behandeling,€ 46.50
Instrumentele behandeling klein,€ 40.00
Instrumentele behandeling groot,€ 65.00
Verzuimde afspraak vanaf,€ 40.00
Telefonisch/per mail bestelde podotherapeutische zolen,€ 214.00
Telefonisch/per mail bestelde podotherapeutische zolen werkschoenen,€ 251.50
Eerste onderzoek + zolen + controle ,€ 321.50
Eerste onderzoek + zolen + controle kind t/m 12 jaar,€ 309.00
Eerste onderzoek + werkschoenzolen + controle ,€ 359.00
Eerste onderzoek + orthese vanaf,€ 111.50
Eerste onderzoek + nagelbeugel / orthonyxie vanaf,€ 118.50
Bestaande patiënt + podotherapeutische zolen,€ 262.50
Bestaande patiënt + podotherapeutische zolen kind t/m 12 jaar,€ 250.00
Bestaande patiënt + podotherapeutische werkschoenzolen,€ 300.00
Bestaande patiënt + podotherapeutische slippers,€ 292.50
Verzending podotherapeutische zolen,€ 9.95
